id,__v,_id,name,type,onMap,overX,overZ,owner,isBank,radius,isCourt,netherX,netherZ,dateFrom,isOffice,createdAt,updatedAt,colorNether,description,isProhibition
900,0,6529682760ee338bbd4bc760,Терра Диагола,База,false,-500,29000,Dyagol,false,1000,false,-62,3500,06.10.2023,false,2023-10-13T15:54:15.319Z,2023-10-13T15:54:15.319Z,yellow,База для комфортного времени,false
899,0,652967b760ee338bbd4bc72d,Рисовые плантации,База,false,-11500,28000,t1mem1x,false,2000,false,-1437,3500,06.10.2023,false,2023-10-13T15:52:23.198Z,2023-12-17T00:55:48.235Z,yellow,<p>Рисовые плантации. Здесь выращивается чёрный рис для детей.</p>,true
898,0,6529674060ee338bbd4bc705,Ban04ka,База,false,-7500,28000,Banka3629,false,2000,false,-937,3500,06.10.2023,false,2023-10-13T15:50:24.049Z,2023-10-13T15:50:24.049Z,yellow,Територия  для чила,false
897,0,652966d960ee338bbd4bc6d7,Зона пониженной гравитации,База,false,-5504,188,The_M1lkyway,false,700,false,-685,22,06.10.2023,false,2023-10-13T15:48:41.532Z,2023-10-13T15:48:41.532Z,blue,Люто база сигмы,false
896,0,6529660760ee338bbd4bc684,КаваГрад,Город,false,-1024,-7307,blintvett,false,550,false,-125,-906,10.10.2023,false,2023-10-13T15:45:11.034Z,2023-10-13T15:45:11.034Z,red,Поселение внутри огромной пещеры. ,false
894,0,6529651360ee338bbd4bc5fe,Либревилл,Город,true,1503,15342,vladbrask,false,750,false,190,1910,08.10.2023,false,2023-10-13T15:41:07.957Z,2023-10-13T15:41:07.957Z,yellow,"Стремительно развивающийся город, объядинивший в себе людей, с абсолютно разными интересами, но одной целью. В переводе с ит. яз и франц. яз как ""Свободный город"" ",false
893,0,6529647060ee338bbd4bc5b9,Город злодеев,Город,false,-24954,1109,Prosto_NaIS,false,1000,false,-3123,130,07.10.2023,false,2023-10-13T15:38:24.533Z,2023-10-13T15:38:24.533Z,blue,"Город криминал, с интирест ной историей",false
892,0,6529640560ee338bbd4bc5ac,PiterGrad,Город,true,-6137,-1086,_miha_,false,450,false,-767,-134,06.10.2023,true,2023-10-13T15:36:37.313Z,2023-11-14T13:56:18.177Z,blue,Город выполненый в стиле Санкт-Петербурга.,false
891,0,6529636a60ee338bbd4bc592,Ромашковая долина,Город,false,309,-14052,newrochka,false,5.102023,false,35,-1752,05.10.2023,false,2023-10-13T15:34:02.653Z,2023-10-13T15:34:02.653Z,red,"Небольшой город, вдохновлённый Ромашковой долиной из смешариков. ",false
889,0,652961e460ee338bbd4bc54b,Заун,Город,true,5100,2157,_kewi_,false,1000,false,647,265,03.10.2023,false,2023-10-13T15:27:32.875Z,2023-10-13T15:27:32.875Z,green,Город крутых перцев,false
888,0,6529616860ee338bbd4bc537,PieceTown,Город,false,15179,1326,MrXyuz,false,500,false,1900,170,01.10.2023,false,2023-10-13T15:25:28.899Z,2023-10-13T15:25:28.899Z,green,Заросший город,false
887,0,6529605260ee338bbd4bc524,КСЕПОМСКАЯ ИМПЕРИЯ,Город,true,1419,11053,XEPOM,false,1000,false,172,1373,30.09.2023,false,2023-10-13T15:20:50.167Z,2023-11-19T18:10:13.259Z,yellow,ВЕЛИКАЯ ИМПЕРИЯ ИГРОКА КСЕПОМА,false
885,0,65295e2360ee338bbd4bc4ed,Стиль-Сити,Город,false,15108,-3327,Dobri_Evrei,false,1000,false,1888,-415,26.09.2023,false,2023-10-13T15:11:31.736Z,2023-10-13T15:11:31.736Z,green,город самых топовых людей с которыми  интересно общатся и икон стиля. Очень красивый  город со своей архитектурой,false
884,0,65295bec60ee338bbd4bc291,Территория OVERHAND_,База,false,-19500,-4500,OVERHAND_,false,1500,false,-2434,-583,18.11.2022,false,2023-10-13T15:02:04.795Z,2023-10-13T15:02:04.795Z,blue,Частная территория OVERHAND_,false
883,0,65295a4b60ee338bbd4bc22f,Альтенбург,Город,true,-4800,-1380,maxi_capybara,false,200,false,-610,-182,06.10.2023,false,2023-10-13T14:55:07.488Z,2023-11-24T16:23:12.998Z,blue,хайповый город,true
882,0,6529577060ee338bbd4bc18d,Кримисноу,Город,false,-2131,-10675,ivangou55,false,150,false,-262,-1335,13.10.2023,false,2023-10-13T14:42:56.417Z,2023-10-14T14:27:11.881Z,red,небогатый город бандитов,false
881,0,65292b2960ee338bbd4bbf05,База АртМании ,База,false,-32000,2600,NotQR_,false,2000,false,-4000,325,10.10.2023,false,2023-10-13T11:34:01.949Z,2023-10-13T13:58:23.694Z,blue," Закрытая база АртМании, можно войти через основную базу.",false
880,0,6529226660ee338bbd4bbd1c,zxcql0p1n4,База,false,-12000,-8500,legendaPVE,false,400,false,-1500,-1062,13.10.2023,false,2023-10-13T10:56:38.013Z,2023-10-13T10:56:38.013Z,blue,y4 tru ql0p,false
879,0,65285c8760ee338bbd4bb347,HEAVEN TO ME,База,false,601,-14287,burdik,false,120,false,69,-1783,12.10.2023,false,2023-10-12T20:52:23.415Z,2023-10-12T20:52:23.415Z,red,Территория Mr. Lonely,false
878,0,6528551b60ee338bbd4bb329,База Мишки,База,false,-15500,28000,_M1shk4_,false,2000,false,-1937,3500,12.10.2023,false,2023-10-12T20:20:43.726Z,2023-10-12T20:20:43.726Z,yellow,-,false
877,0,65194242ab687d4dd5d6dd44,Королевство Эдем,Город,false,6000,-2000,_kirl,false,2000,false,750,-250,04.06.2022,false,2023-10-01T09:56:18.518Z,2023-10-01T09:56:18.518Z,green,Город красоты и рыцарских дуэлей,false
