,,,,,,,,,,
,,,,,,,,,,
№,РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ БАЗ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ),,,,,,,,,
,ОБЩАЯ ХАРАКТЕРИСТИКА,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ ТЕРРИТОРИИ,
,,,,Верхний мир,,,Нижний мир,,,
,Название,Описание,Владелец,X,Z,Радиус,X,Z,Дата,Ссылка на пост
141,Деревня УС,Терра Zmeson,Zmeson,-4721,5380,100,-590,672,24.11.2022,-
142,Территория Kaharbis,,Kaharbis,-17565,-1111,1000,-2200,-142,25.11.2022,-
143,Гениально,территория игрока macnabochok 2к радиус,macnabochok,20300,8455,2000,2537,1056,28.11.2022,https://vk.com/topic-131054616_48663772?offset=380
144,"Территория игрока
dadaaga",Нет,dadaaga,-15423,-1048,1000,-1927,-131,02.11.2022,-
145,Топ Хата Ракса,Не входить запретка,I_Rax_I,-5118,-15738,650,-642,-1968,06.10.2022,https://vk.com/gepe5?w=wall-131054616_87796%2Fall
146,База Grillond и KinderPin,База игроков Grillond и KinderPin,Grillond,-24000,2400,500,-3000,294,09.12.2022,https://vk.com/topic-131054616_48663772?offset=380&z=photo-131054616_457252137%2Fpost-131054616_4279
147,Paradise,Глиб глиб глиб,"Xiore, Rammelb1rne",4243,-21115,500,539,-2617,03.12.2022,https://vk.com/topic-131054616_48663772?post=4275
148,штаб партии КМПСП 2,штаб партии КМПСП 2,BaBiEdA,-2544,-19634,2000,-318,-2452,10.12.2022,
149,SUNRAR,тут живёт обычный отшельник ,SUNRAR,1400,24800,2000,174,3100,11.12.2022,
150,База MrXott,ЗАПРЕТКА,MrXott,2499,-29893,1000,316,-2990,13.12.2022,
151,123,похуйпохуй,keorii,-400,7100,1000,-50,888,05.06.2022,https://vk.com/topic-131054616_48663772?post=3517
152,Дристель,"Небольшая терра, под личное пользование.",ne_drister,-13071,7272,500,-1640,-,14.12.2022,-
153,Антончик,да,MrNapsik,108,-24744,500,17,-3088,15.12.2022,
154,meow,meowmeow,VunderFaffle,10000,5555,1000,1200,200,01.10.2022,https://vk.com/topic-131054616_48663772?post=4185
155,"загон ""сивая кобыла""",200 метров от вас,TIXOH227,-15307,746,1000,-1909,87,19.12.2022,
156,Поселение староверов,Староверческое православное поселение среди мангровых болот.,Ddimantus,18732,-13941,500,2350,-1743,08.10.2022,https://vk.com/wall-131054616_87863
157,Территория OVERHAND_,Частная территория OVERHAND_,OVERHAND_,-19500,-4500,1500,-2434,-580,18.11.2022,
158,Ohio,лютая запретка только для своих братиков,Cobbla,1225,-18725,500,148,:-2340,26.12.2022,
159,Территория Маудза,Территория для своих нужд и планов.,maudzz,2530,17200,1300,305,2147,01.01.2023,
160,Банани,Частная Территория,__LegoLite__,3450,-15150,500,425,-1896,01.01.2023,
161,Территория Дебатры,Частное владение,_Debatra_,-3500,5050,144,-435,623,02.01.2023,-
162,ДЫРА,База ШАРИК НУБ И ВЕРТАЛЕТА топ челы аххахаха,ShurikNu,-3580,65,2000,-438,15,04.01.2023,-
163,Ривскрай,Небольшой островок бозопасности игрока mmAAmmAA,mmAAmmAA,12558,3675,750,1566,447,06.01.2023,https://vk.com/topic-131054616_48663772?post=4169
164,Кайо-Перико,"Грабим Эльбубио каждые 45 минут, присоеденяйтесь",Poproshaika89,4186,7228,1000,511,900,06.01.2023,-
165,База Alternativchik_,Запретная территория для всех,Alternativchik_,-3766,-5179,500,-470,-679,07.01.2023,-
166,Грибной остров CuBeNasa,-,CuBeNasa,22274,21794,500,2784,2724,08.01.2023,
167,База профикса 2,Ещё больше грибных островов с кучей всего,ProFix_,-9125,-24221,2000,-1133,-3034,08.01.2023,
168,Чайхана,"Как Лас-Вегас, только чайхана",Begem0t1k,-49,17424,250,-5,2178,08.01.2023,-
169,Неверморье,Город друзей с разными стилистиками в котором всегда есть приключение Izh eyik hedoq,NevetMet,-54,-6249,700,-20,-777,09.01.2023,
170,База кенкитуса,Начальная привал.,ceencituus,-1406,-18751,1000,0,-2337,09.01.2023,
171,"Легион BC Коалиции ""Бирюзовая Заря Хайграунда""","Легион BC Коалиции ""Бирюзовая Заря Хайграунда""",TsarKhranitel,-6300,3100,150,-780,375,11.01.2023,-
172,"Портал 
(фармилка)",Закрытая ферма опыта,AirosGaming,117,-3850,350,13,-495,19.01.2023,-
173,Оазис Флоу,Крутые горы с джунглями и красивым океаном.,kessuk,-10900,-19300,1000,-1350,-2420,21.01.2023,-
174,Модная база,База Маминого модника VG - Vagina Grif,Mamin_ModnikVG,-1796,2674,300,-229,-325,12.02.2023,
175,Яма саши слоника,яма,_Sasha_Slonk_,80,6712,2000,10,839,13.02.2023,-
176,Горная деревня,-,coba4ka3,3037,23966,1000,385,3002,18.02.2023,-
177,MisterDinar,Древний Город,MisterDinar,18848,-1047,500,2358,-133,18.02.2023,-
178,База Super_Klep,База для Super_klepa,Super_klepa,2788,5053,500,348,631,19.02.2023,-
